FileName,ClassLabel
CatCat,Expected
DogDog,Unexpected
ElephantElephant,Unexpected
FishFish,Expected
BirdMonkey,Unexpected
CatDog,Unexpected
CatHorse,Unexpected
DogFish,Unexpected
ElephantBird,Unexpected
ElephantHorse,Expected
FishPanda,Unexpected
HorseBird,Expected
HorseCow,Unexpected
HorseMonkey,Unexpected
MonkeyBird,Unexpected
MonkeyKangaroo,Unexpected
PandaCat,Unexpected
